資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,1,3,嘉義女中,中山女高,0,3,反方勝,,,,,複賽
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,1,4,臺中女中,明道中學,1,2,反方勝,,,,,複賽
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,1,新竹高中,新竹女中,0,3,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,2,桃園高中,明道中學,1,2,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,3,師大附中,南山高中,1,2,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,4,竹東高中,臺南女中,2,1,正方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,5,松山高中,嘉義女中,0,3,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,3,1,成功高中,港明高中,3,0,正方勝,,,,,初賽第三時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,3,2,臺中女中,成淵高中,2,1,正方勝,,,,,初賽第三時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,3,3,武陵高中,高雄中學,0,3,反方勝,,,,,初賽第三時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,3,4,明道中學,桃園高中,3,0,正方勝,,,,,初賽第三時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,3,5,臺南女中,中山女高,1,2,反方勝,,,,,初賽第三時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,2,1,交大附中,新竹高中,3,0,正方勝,,,,,初賽第二時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,2,2,成淵高中,臺中女中,1,2,反方勝,,,,,初賽第二時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,2,3,文華高中,武陵高中,3,0,正方勝,,,,,初賽第二時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,2,4,中山女高,竹東高中,3,0,正方勝,,,,,初賽第二時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,2,5,平鎮高中,松山高中,2,1,正方勝,,,,,初賽第二時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,1,1,港明高中,成功高中,0,3,反方勝,,,,,初賽第一時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,1,2,新竹女中,交大附中,2,1,正方勝,,,,,初賽第一時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,1,3,高雄中學,文華高中,3,0,正方勝,,,,,初賽第一時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,1,4,南山高中,師大附中,1,2,反方勝,,,,,初賽第一時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,1,5,嘉義女中,平鎮高中,3,0,正方勝,,,,,初賽第一時段
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-31,1,1,學測再加365,鐘米糕小蛋糕我吃吃吃吃吃吃,0,0,反方勝,,,,,
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,1,1,忍辱附中,成功高中,0,3,反方勝,,,,,大會公告｜5/30第一時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,1,2,鐘米糕小蛋糕我吃吃吃吃吃吃,高市中正,3,0,正方勝,,,,,大會公告｜5/30第一時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,1,3,學測再加365,家齊高中,3,0,正方勝,,,,,大會公告｜5/30第一時段比賽公告
